скорость ПП колеса,скорость ПЛ колеса,скорость ЗП колеса,скорость ЗЛ колеса,заданный момент двигателя,реализованный момент двигателя,ток Фазной Обмотки,ток Обмотки Возбуждения,температура тягового двигателя,температура инвертора,скорость двигателя,мощность двигателя,положение рейки перед,ток рейки перед,температура рейки перед,положение рейки зад,ток рейки зад,температура рейки зад,напряжение ТАБ высокое ,ток батареи ТАБ,time
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,20.0,352.7,0.0,20:02:36.965433
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,20.0,352.7,0.0,20:02:36.968412
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,20.0,352.7,0.0,20:02:37.395686
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,20.0,352.7,0.0,20:02:37.832489
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,20.0,352.7,0.0,20:02:38.269931
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,20.0,352.7,0.0,20:02:38.703843
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,20.0,352.7,0.0,20:02:39.140371
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,20.0,352.7,0.0,20:02:39.577331
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,20.0,352.7,0.0,20:02:40.011801
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,20.0,352.7,0.0,20:02:40.448708
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,20.0,352.7,0.0,20:02:40.869631
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,20.0,352.7,0.0,20:02:41.309360
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,20.0,352.7,0.0,20:02:41.730930
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,20.0,352.7,0.0,20:02:42.152084
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,20.0,352.7,0.0,20:02:42.571420
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,20.0,352.7,0.0,20:02:43.008785
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,20.0,352.7,0.0,20:02:43.447311
