PSTED_TORQUE,PSTED_MOTOR_SPEED,PSTED_CURRENT,PSTED_VOLTAGE,PSTED_MOTOR_TEMP,PSTED_INV_RADIATOR_TEMP,PSTED_OUT_BMS_VOLTAGE,SYSTEM_24V_VOLTAGE,time
-87.00,-3398.30,35.83,343.06,37.00,17.00,312.36,24.47,13:41:39.411311
-87.00,-3398.30,35.83,343.06,37.00,17.00,312.36,24.47,13:41:39.420002
0.00,0.00,0.00,343.06,46.00,17.00,336.79,24.49,13:41:40.175645
0.00,0.00,0.00,343.06,46.00,17.00,336.79,24.49,13:41:40.739885
0.00,0.00,0.00,349.41,46.00,17.00,336.79,24.50,13:41:41.379623
0.00,0.00,0.00,343.06,46.00,17.00,336.79,24.50,13:41:41.965761
0.00,0.00,0.00,349.41,46.00,17.00,336.79,24.48,13:41:42.768525
0.00,0.00,0.00,349.41,46.00,17.00,336.79,24.48,13:41:43.348599
0.00,0.00,0.00,349.41,46.00,17.00,336.79,24.50,13:41:44.019542
0.00,0.00,0.00,343.06,46.00,17.00,336.79,24.48,13:41:44.636306
0.00,0.00,0.00,349.41,46.00,17.00,336.79,24.50,13:41:45.491412
0.00,0.00,0.00,349.41,46.00,17.00,336.79,24.50,13:41:46.039381
0.00,0.00,0.00,349.41,46.00,17.00,336.79,24.49,13:41:46.678279
0.00,0.00,0.00,343.06,46.00,17.00,336.79,24.50,13:41:47.342636
0.00,0.00,0.00,349.41,46.00,17.00,336.79,24.50,13:41:48.144213
0.00,0.00,0.00,349.41,46.00,17.00,336.79,24.50,13:41:48.645628
0.00,0.00,0.00,349.41,46.00,17.00,336.79,24.48,13:41:49.247140
0.00,0.00,0.00,0.00,15.00,86.00,29.67,24.50,13:41:49.933059
0.00,0.00,0.00,349.41,46.00,17.00,336.79,24.50,13:41:50.734574
0.00,0.00,0.00,349.41,46.00,17.00,336.79,24.50,13:41:51.336433
0.00,0.00,0.00,349.41,46.00,17.00,336.79,24.49,13:41:51.937893
0.00,0.00,0.00,349.41,46.00,17.00,336.79,24.50,13:41:52.539113
0.00,0.00,0.00,349.41,46.00,17.00,336.79,24.50,13:41:53.324740
0.00,0.00,0.00,349.41,46.00,17.00,336.79,24.50,13:41:53.795554
0.00,0.00,0.00,349.41,46.00,17.00,336.79,24.48,13:41:54.397395
0.00,0.00,0.00,343.06,46.00,17.00,336.79,24.48,13:41:54.961127
0.00,0.00,0.00,349.41,46.00,17.00,336.79,24.50,13:41:55.562830
0.00,0.00,0.00,343.06,46.00,17.00,336.79,24.50,13:41:56.348804
0.00,0.00,0.00,343.06,46.00,17.00,336.79,24.50,13:41:56.819251
0.00,0.00,0.00,343.06,46.00,17.00,336.79,24.50,13:41:57.420882
0.00,0.00,0.00,343.06,46.00,17.00,336.79,24.50,13:41:58.007363
0.00,0.00,0.00,343.06,46.00,17.00,336.79,24.50,13:41:58.586965
0.00,0.00,0.00,349.41,46.00,17.00,336.79,24.50,13:41:59.288805
0.00,0.00,0.00,349.41,46.00,17.00,336.79,24.50,13:41:59.891513
0.00,0.00,0.00,343.06,46.00,17.00,336.79,24.50,13:42:00.444243
0.00,0.00,0.00,349.41,46.00,17.00,336.79,24.50,13:42:01.046516
0.00,0.00,0.00,349.41,46.00,17.00,336.79,24.50,13:42:01.633063
0.00,0.00,0.00,349.41,46.00,17.00,336.79,24.49,13:42:02.365494
0.00,0.00,0.00,349.41,46.00,17.00,336.79,24.49,13:42:02.820338
0.00,0.00,0.00,349.41,46.00,17.00,336.79,24.50,13:42:03.422060
0.00,0.00,0.00,349.41,46.00,17.00,336.79,24.50,13:42:04.022848
0.00,0.00,0.00,349.41,46.00,17.00,336.79,24.50,13:42:04.634586
0.00,0.00,0.00,343.06,46.00,17.00,336.79,24.50,13:42:05.459165
0.00,0.00,0.00,343.06,46.00,17.00,336.79,24.50,13:42:05.938468
0.00,0.00,0.00,349.41,46.00,17.00,336.79,24.48,13:42:06.577856
0.00,0.00,0.00,349.41,46.00,17.00,336.79,24.48,13:42:07.210504
0.00,0.00,0.00,349.41,46.00,17.00,336.79,24.49,13:42:07.912397
0.00,0.00,0.00,349.41,46.00,17.00,336.79,24.49,13:42:08.383567
0.00,0.00,0.00,349.41,46.00,17.00,336.79,24.49,13:42:08.985095
0.00,0.00,0.00,343.06,46.00,17.00,336.79,24.50,13:42:09.586181
0.00,0.00,0.00,343.06,46.00,17.00,336.79,24.50,13:42:10.150953
0.00,0.00,0.00,349.41,46.00,17.00,343.77,24.49,13:42:10.975392
0.00,0.00,0.00,349.41,46.00,17.00,343.77,24.49,13:42:11.477241
0.00,0.00,0.00,349.41,46.00,17.00,343.77,24.50,13:42:12.078787
0.00,0.00,0.00,349.41,46.00,17.00,343.77,24.50,13:42:12.680754
0.00,0.00,0.00,343.06,46.00,17.00,343.77,24.50,13:42:13.467190
0.00,0.00,0.00,343.06,46.00,17.00,343.77,24.50,13:42:13.931038
0.00,0.00,0.00,349.41,46.00,17.00,345.51,24.49,13:42:14.547952
0.00,0.00,0.00,343.06,46.00,17.00,345.51,24.49,13:42:15.202086
0.00,0.00,0.00,343.06,46.00,17.00,345.51,24.50,13:42:15.950224
0.00,0.00,0.00,343.06,46.00,17.00,345.51,24.50,13:42:16.405324
0.00,0.00,0.00,343.06,46.00,17.00,345.51,24.49,13:42:16.991463
0.00,0.00,0.00,343.06,46.00,17.00,345.51,24.50,13:42:17.593222
0.00,0.00,0.00,349.41,46.00,17.00,345.51,24.50,13:42:18.241765
0.00,0.00,0.00,343.06,46.00,17.00,345.51,24.50,13:42:19.027887
0.00,0.00,0.00,343.06,46.00,17.00,345.51,24.50,13:42:19.498353
0.00,0.00,0.00,343.06,46.00,17.00,345.51,24.50,13:42:20.131506
0.00,0.00,0.00,343.06,46.00,17.00,345.51,24.50,13:42:20.648903
0.00,0.00,0.00,349.41,46.00,17.00,345.51,24.50,13:42:21.266010
0.00,0.00,0.00,343.06,46.00,17.00,345.51,24.50,13:42:22.067923
0.00,0.00,0.00,343.06,46.00,17.00,345.51,24.50,13:42:22.522273
0.00,0.00,0.00,349.41,46.00,17.00,345.51,24.50,13:42:23.108393
0.00,0.00,0.00,349.41,46.00,17.00,345.51,24.50,13:42:23.710737
0.00,0.00,0.00,349.41,46.00,17.00,345.51,24.50,13:42:24.312433
0.00,0.00,0.00,349.41,46.00,17.00,345.51,24.49,13:42:25.045639
0.00,0.00,0.00,349.41,46.00,17.00,345.51,24.49,13:42:25.531616
0.00,0.00,0.00,349.41,46.00,17.00,345.51,24.48,13:42:26.117770
0.00,0.00,0.00,343.06,46.00,17.00,345.51,24.48,13:42:26.719489
0.00,0.00,0.00,343.06,46.00,17.00,345.51,24.50,13:42:27.321393
0.00,0.00,0.00,349.41,46.00,17.00,345.51,24.50,13:42:28.070559
0.00,0.00,0.00,349.41,46.00,17.00,345.51,24.50,13:42:28.541682
0.00,0.00,0.00,349.41,46.00,17.00,345.51,24.49,13:42:29.127578
0.00,0.00,0.00,343.06,46.00,17.00,345.51,24.50,13:42:29.729336
0.00,0.00,0.00,349.41,46.00,17.00,345.51,24.50,13:42:30.309138
0.00,0.00,0.00,349.41,46.00,17.00,345.51,24.50,13:42:31.064693
0.00,0.00,0.00,349.41,46.00,17.00,345.51,24.50,13:42:31.535417
