PSTED_TORQUE,PSTED_MOTOR_SPEED,PSTED_CURRENT,PSTED_VOLTAGE,PSTED_MOTOR_TEMP,PSTED_INV_RADIATOR_TEMP,PSTED_OUT_BMS_VOLTAGE,SYSTEM_24V_VOLTAGE,STEERING_SERVO_CUR_POS_FRONT,STEERING_SERVO_CUR_POS_REAR,time
,,,,,,,,,,13:56:05.746424
,,,,,,,,,,13:56:05.749431
,,,,,,,,,,13:56:06.071534
,,,,,,,,,,13:56:06.281291
,,,,,,,,,,13:56:06.480367
,,,,,,,,,,13:56:06.681382
,,,,,,,,,,13:56:06.890643
,,,,,,,,,,13:56:07.091300
,,,,,,,,,,13:56:07.301341
,,,,,,,,,,13:56:07.511478
,,,,,,,,,,13:56:07.711366
,,,,,,,,,,13:56:07.911417
0.00,0.00,0.00,6.35,30.00,17.00,0.00,21.77,-1.00,-9.00,13:56:08.111119
0.00,0.00,0.00,6.35,30.00,17.00,0.00,21.77,-1.00,-9.00,13:56:08.311200
0.00,0.00,0.00,6.35,30.00,17.00,0.00,21.77,-1.00,-9.00,13:56:08.521333
0.00,0.00,0.00,6.35,30.00,17.00,0.00,21.77,-1.00,-9.00,13:56:08.710788
0.00,0.00,0.00,6.35,30.00,17.00,0.00,21.77,-1.00,-9.00,13:56:08.921180
0.00,0.00,0.00,6.35,30.00,17.00,0.00,21.77,-1.00,-9.00,13:56:09.121233
0.00,0.00,0.00,6.35,30.00,17.00,0.00,21.77,-1.00,-9.00,13:56:09.320932
0.00,0.00,0.00,6.35,30.00,17.00,0.00,21.77,-1.00,-9.00,13:56:09.531326
0.00,0.00,0.00,6.35,30.00,17.00,0.00,21.77,-1.00,-9.00,13:56:09.731537
0.00,0.00,0.00,6.35,30.00,17.00,0.00,21.77,-1.00,-9.00,13:56:09.943475
0.00,0.00,0.00,6.35,22.00,17.00,0.00,21.87,-1.00,-9.00,13:56:10.191535
0.00,0.00,0.00,6.35,22.00,17.00,0.00,21.87,-1.00,-9.00,13:56:10.401610
0.00,0.00,0.00,6.35,22.00,17.00,0.00,21.87,-1.00,-9.00,13:56:10.601061
0.00,0.00,0.00,6.35,22.00,17.00,0.00,21.87,-1.00,-9.00,13:56:10.811222
0.00,0.00,0.00,6.35,22.00,17.00,0.00,21.87,-1.00,-9.00,13:56:11.011462
0.00,0.00,0.00,6.35,22.00,17.00,0.00,21.87,-1.00,-9.00,13:56:11.211726
0.00,0.00,0.00,6.35,22.00,17.00,0.00,21.87,-1.00,-9.00,13:56:11.421595
0.00,0.00,0.00,6.35,22.00,17.00,0.00,21.87,-1.00,-9.00,13:56:11.620960
0.00,0.00,0.00,6.35,22.00,17.00,0.00,21.87,-1.00,-9.00,13:56:11.823110
0.00,0.00,0.00,6.35,22.00,17.00,0.00,21.87,-1.00,-9.00,13:56:12.020771
0.00,0.00,0.00,6.35,28.00,17.00,0.00,21.79,-1.00,-9.00,13:56:12.220946
0.00,0.00,0.00,6.35,28.00,17.00,0.00,21.79,-1.00,-9.00,13:56:12.432927
0.00,0.00,0.00,6.35,28.00,17.00,0.00,21.79,-1.00,-9.00,13:56:12.632714
0.00,0.00,0.00,6.35,28.00,17.00,0.00,21.79,-1.00,-9.00,13:56:12.832237
0.00,0.00,0.00,6.35,28.00,17.00,0.00,21.79,-1.00,-9.00,13:56:13.044076
0.00,0.00,0.00,6.35,28.00,17.00,0.00,21.79,-1.00,-9.00,13:56:13.251120
0.00,0.00,0.00,6.35,28.00,17.00,0.00,21.79,-1.00,-9.00,13:56:13.451295
0.00,0.00,0.00,6.35,28.00,17.00,0.00,21.79,-1.00,-9.00,13:56:13.660658
0.00,0.00,0.00,6.35,28.00,17.00,0.00,21.79,-1.00,-9.00,13:56:13.921729
0.00,0.00,0.00,6.35,28.00,17.00,0.00,21.79,-1.00,-9.00,13:56:14.131665
0.00,0.00,0.00,6.35,30.00,17.00,0.00,21.75,-1.00,-9.00,13:56:14.331713
0.00,0.00,0.00,6.35,30.00,17.00,0.00,21.75,-1.00,-9.00,13:56:14.533889
0.00,0.00,0.00,6.35,30.00,17.00,0.00,21.75,-1.00,-9.00,13:56:14.731318
0.00,0.00,0.00,6.35,30.00,17.00,0.00,21.75,-1.00,-9.00,13:56:14.961552
0.00,0.00,0.00,6.35,30.00,17.00,0.00,21.75,-1.00,-9.00,13:56:15.201193
0.00,0.00,0.00,6.35,30.00,17.00,0.00,21.75,-1.00,-9.00,13:56:15.411501
0.00,0.00,0.00,6.35,30.00,17.00,0.00,21.75,-1.00,-9.00,13:56:15.611642
0.00,0.00,0.00,6.35,30.00,17.00,0.00,21.75,-1.00,-9.00,13:56:15.821524
0.00,0.00,0.00,6.35,30.00,17.00,0.00,21.75,-1.00,-9.00,13:56:16.011143
0.00,0.00,0.00,6.35,30.00,17.00,0.00,21.75,-1.00,-9.00,13:56:16.211473
0.00,0.00,0.00,6.35,30.00,17.00,0.00,21.93,-1.00,-9.00,13:56:16.431150
0.00,0.00,0.00,6.35,30.00,17.00,0.00,21.93,-1.00,-9.00,13:56:16.631200
0.00,0.00,0.00,6.35,30.00,17.00,0.00,21.93,-1.00,-9.00,13:56:16.821125
0.00,0.00,0.00,6.35,30.00,17.00,0.00,21.93,-1.00,-9.00,13:56:17.021610
0.00,0.00,0.00,6.35,30.00,17.00,0.00,21.93,-1.00,-9.00,13:56:17.231763
0.00,0.00,0.00,6.35,30.00,17.00,0.00,21.93,-1.00,-9.00,13:56:17.431319
0.00,0.00,0.00,6.35,30.00,17.00,0.00,21.93,-1.00,-9.00,13:56:17.631683
0.00,0.00,0.00,6.35,30.00,17.00,0.00,21.93,-1.00,-9.00,13:56:17.831282
0.00,0.00,0.00,6.35,30.00,17.00,0.00,21.93,-1.00,-9.00,13:56:18.044060
0.00,0.00,0.00,6.35,30.00,17.00,0.00,21.93,-1.00,-9.00,13:56:18.244381
0.00,0.00,0.00,6.35,30.00,17.00,0.00,21.54,-1.00,-9.00,13:56:18.451520
0.00,0.00,0.00,6.35,30.00,17.00,0.00,21.54,-1.00,-9.00,13:56:18.703476
0.00,0.00,0.00,6.35,30.00,17.00,0.00,21.54,-1.00,-9.00,13:56:18.911493
0.00,0.00,0.00,6.35,30.00,17.00,0.00,21.54,-1.00,-9.00,13:56:19.121150
