PSTED_TORQUE,PSTED_MOTOR_SPEED,PSTED_CURRENT,PSTED_VOLTAGE,PSTED_MOTOR_TEMP,PSTED_INV_RADIATOR_TEMP,PSTED_OUT_BMS_VOLTAGE,SYSTEM_24V_VOLTAGE,STEERING_SERVO_CUR_POS_FRONT,STEERING_SERVO_CUR_POS_REAR,STEERING_SERVO_CURRENT_FRONT,STEERING_SERVO_CURRENT_REAR,time
,,,,,,,,,,,,19:20:18.291167
,,,,,,,,,,,,19:20:18.294167
,,,,,,,,,,,,19:20:18.637001
,,,,,,,,,,,,19:20:18.846159
,,,,,,,,,,,,19:20:19.055302
,,,,,,,,,,,,19:20:19.257430
,,,,,,,,,,,,19:20:19.465829
,,,,,,,,,,,,19:20:19.675096
,,,,,,,,,,,,19:20:19.865315
,,,,,,,,,,,,19:20:20.089464
,,,,,,,,,,,,19:20:20.289196
,,,,,,,,,,,,19:20:20.535076
,,,,,,,,,,,,19:20:20.735158
,,,,,,,,,,,,19:20:20.945654
0.00,0.00,0.00,355.76,41.00,79.00,359.30,24.43,37.00,0.00,2560.00,0.00,19:20:21.175433
0.00,0.00,0.00,355.76,41.00,79.00,359.30,24.43,37.00,0.00,2560.00,0.00,19:20:21.376068
0.00,0.00,0.00,355.76,41.00,79.00,359.30,24.43,37.00,0.00,2560.00,0.00,19:20:21.575732
0.00,0.00,0.00,355.76,41.00,79.00,359.30,24.43,37.00,0.00,2560.00,0.00,19:20:21.775668
0.00,0.00,0.00,355.76,41.00,79.00,359.30,24.43,37.00,0.00,2560.00,0.00,19:20:21.977876
0.00,0.00,0.00,355.76,41.00,79.00,359.30,24.43,37.00,0.00,2560.00,0.00,19:20:22.191254
0.00,0.00,0.00,355.76,41.00,79.00,359.30,24.43,37.00,0.00,2560.00,0.00,19:20:22.389617
0.00,0.00,0.00,355.76,41.00,79.00,359.30,24.43,37.00,0.00,2560.00,0.00,19:20:22.588291
0.00,0.00,0.00,355.76,41.00,79.00,359.30,24.43,37.00,0.00,2560.00,0.00,19:20:22.825899
0.00,0.00,0.00,355.76,41.00,79.00,359.30,24.43,37.00,0.00,2560.00,0.00,19:20:23.045960
0.00,0.00,0.00,355.76,41.00,79.00,359.30,24.43,37.00,0.00,2560.00,0.00,19:20:23.245378
0.00,0.00,0.00,355.76,41.00,79.00,359.30,24.43,37.00,0.00,2560.00,0.00,19:20:23.446116
0.00,0.00,0.00,355.76,41.00,79.00,359.30,24.47,386.00,0.00,2060.00,0.00,19:20:23.645970
0.00,0.00,0.00,355.76,41.00,79.00,359.30,24.47,386.00,0.00,2060.00,0.00,19:20:23.865849
0.00,0.00,0.00,355.76,41.00,79.00,359.30,24.47,386.00,0.00,2060.00,0.00,19:20:24.065971
0.00,0.00,0.00,355.76,41.00,79.00,359.30,24.47,386.00,0.00,2060.00,0.00,19:20:24.277576
0.00,0.00,0.00,355.76,41.00,79.00,359.30,24.47,386.00,0.00,2060.00,0.00,19:20:24.475283
0.00,0.00,0.00,355.76,41.00,79.00,359.30,24.47,386.00,0.00,2060.00,0.00,19:20:24.690443
0.00,0.00,0.00,355.76,41.00,79.00,359.30,24.47,386.00,0.00,2060.00,0.00,19:20:24.887745
