PSTED_TORQUE,PSTED_MOTOR_SPEED,PSTED_CURRENT,PSTED_VOLTAGE,PSTED_MOTOR_TEMP,PSTED_INV_RADIATOR_TEMP,PSTED_OUT_BMS_VOLTAGE,SYSTEM_24V_VOLTAGE,STEERING_SERVO_CUR_POS_FRONT,STEERING_SERVO_CUR_POS_REAR,STEERING_SERVO_CURRENT_FRONT,STEERING_SERVO_CURRENT_REAR,SUSPENSION_PRESSURE_CUR_1,SUSPENSION_PRESSURE_CUR_2,SUSPENSION_PRESSURE_CUR_3,SUSPENSION_PRESSURE_CUR_4,time
,,,,,,,,,,,,,,,,12:41:06.483993
,,,,,,,,,,,,,,,,12:41:06.487001
,,,,,,,,,,,,,,,,12:41:06.835194
,,,,,,,,,,,,,,,,12:41:07.045234
,,,,,,,,,,,,,,,,12:41:07.245473
,,,,,,,,,,,,,,,,12:41:07.446944
,,,,,,,,,,,,,,,,12:41:07.657474
,,,,,,,,,,,,,,,,12:41:07.891067
,,,,,,,,,,,,,,,,12:41:08.098286
,,,,,,,,,,,,,,,,12:41:08.298346
,,,,,,,,,,,,,,,,12:41:08.509276
,,,,,,,,,,,,,,,,12:41:08.732152
,,,,,,,,,,,,,,,,12:41:08.930128
,,,,,,,,,,,,,,,,12:41:09.131265
,,,,,,,,,,,,,,,,12:41:09.341713
,,,,,,,,,,,,,,,,12:41:09.542182
,,,,,,,,,,,,,,,,12:41:09.745510
,,,,,,,,,,,,,,,,12:41:09.942422
0.00,0.00,0.00,355.76,20.00,57.00,358.90,24.45,-85.00,33.00,640.00,100.00,265.00,2800.00,3214.00,0.00,12:41:10.143365
0.00,0.00,0.00,355.76,20.00,57.00,358.90,24.45,-85.00,33.00,640.00,100.00,265.00,2800.00,3214.00,0.00,12:41:10.355213
0.00,0.00,0.00,355.76,20.00,57.00,358.90,24.45,-85.00,33.00,640.00,100.00,265.00,2800.00,3214.00,0.00,12:41:10.554879
0.00,0.00,0.00,355.76,20.00,57.00,358.90,24.45,-85.00,33.00,640.00,100.00,265.00,2800.00,3214.00,0.00,12:41:10.757406
0.00,0.00,0.00,355.76,20.00,57.00,358.90,24.45,-85.00,33.00,640.00,100.00,265.00,2800.00,3214.00,0.00,12:41:10.965978
0.00,0.00,0.00,355.76,20.00,57.00,358.90,24.45,-85.00,33.00,640.00,100.00,265.00,2800.00,3214.00,0.00,12:41:11.217197
