STEERING_SERVO_CUR_POS_FRONT,STEERING_SERVO_CUR_POS_REAR,STEERING_SERVO_CURRENT_FRONT,STEERING_SERVO_CURRENT_REAR,SUSPENSION_PRESSURE_CUR_1,SUSPENSION_PRESSURE_CUR_2,SUSPENSION_PRESSURE_CUR_3,SUSPENSION_PRESSURE_CUR_4,time
1.00,31.00,1060.00,190.00,1.08,1.46,2.20,0.95,12:58:20.189019
1.00,31.00,1060.00,190.00,1.08,1.46,2.20,0.95,12:58:20.191020
1.00,31.00,1060.00,190.00,1.08,1.46,2.20,0.95,12:58:20.515683
1.00,31.00,1060.00,190.00,1.08,1.46,2.20,0.95,12:58:20.708562
1.00,31.00,1060.00,190.00,1.08,1.46,2.20,0.95,12:58:20.898515
1.00,31.00,1060.00,190.00,1.08,1.46,2.20,0.95,12:58:21.100754
1.00,31.00,1060.00,190.00,1.08,1.46,2.20,0.95,12:58:21.297961
1.00,31.00,1060.00,190.00,1.08,1.46,2.20,0.95,12:58:21.497962
1.00,31.00,1060.00,190.00,1.08,1.46,2.20,0.95,12:58:21.700025
1.00,31.00,1060.00,190.00,1.08,1.46,2.20,0.95,12:58:21.897934
1.00,31.00,1060.00,120.00,0.78,2.60,2.89,0.10,12:58:22.115456
1.00,31.00,1060.00,120.00,0.78,2.60,2.89,0.10,12:58:22.358994
1.00,31.00,1060.00,120.00,0.78,2.60,2.89,0.10,12:58:22.562064
1.00,31.00,1060.00,120.00,0.78,2.60,2.89,0.10,12:58:22.758554
1.00,31.00,1060.00,120.00,0.78,2.60,2.89,0.10,12:58:23.018716
1.00,31.00,1060.00,120.00,0.78,2.60,2.89,0.10,12:58:23.258102
1.00,31.00,1060.00,120.00,0.78,2.60,2.89,0.10,12:58:23.458596
1.00,31.00,1060.00,120.00,0.78,2.60,2.89,0.10,12:58:23.668880
1.00,31.00,1060.00,100.00,0.78,2.60,2.89,0.10,12:58:23.870053
1.00,31.00,1060.00,100.00,0.78,2.60,2.89,0.10,12:58:24.078532
1.00,31.00,1060.00,100.00,0.78,2.60,2.89,0.10,12:58:24.299248
1.00,31.00,1060.00,100.00,0.78,2.60,2.89,0.10,12:58:24.498473
1.00,31.00,1060.00,100.00,0.78,2.60,2.89,0.10,12:58:24.698136
1.00,31.00,1060.00,100.00,0.78,2.60,2.89,0.10,12:58:24.908928
1.00,31.00,1060.00,100.00,0.78,2.60,2.89,0.10,12:58:25.098266
1.00,31.00,1060.00,100.00,0.78,2.60,2.89,0.10,12:58:25.300062
1.00,31.00,1060.00,100.00,0.78,2.60,2.89,0.09,12:58:25.508821
1.00,31.00,1060.00,100.00,0.78,2.60,2.89,0.09,12:58:25.709000
1.00,31.00,1060.00,100.00,0.78,2.60,2.89,0.09,12:58:25.898845
1.00,31.00,1060.00,100.00,0.78,2.60,2.89,0.09,12:58:26.098690
1.00,31.00,1060.00,100.00,0.78,2.60,2.89,0.09,12:58:26.300915
1.00,31.00,1060.00,100.00,0.78,2.60,2.89,0.09,12:58:26.508469
1.00,31.00,1060.00,100.00,0.78,2.60,2.89,0.09,12:58:26.699026
1.00,31.00,1060.00,100.00,0.78,2.60,2.89,0.09,12:58:26.898664
1.00,31.00,1060.00,80.00,0.78,2.60,2.89,0.10,12:58:27.098886
1.00,31.00,1060.00,80.00,0.78,2.60,2.89,0.10,12:58:27.298064
1.00,31.00,1060.00,80.00,0.78,2.60,2.89,0.10,12:58:27.508152
1.00,31.00,1060.00,80.00,0.78,2.60,2.89,0.10,12:58:27.708703
1.00,31.00,1060.00,80.00,0.78,2.60,2.89,0.10,12:58:27.908731
1.00,31.00,1060.00,80.00,0.78,2.60,2.89,0.10,12:58:28.158272
1.00,31.00,1060.00,80.00,0.78,2.60,2.89,0.10,12:58:28.370419
1.00,31.00,1060.00,80.00,0.78,2.60,2.89,0.10,12:58:28.580248
1.00,31.00,1060.00,200.00,0.77,2.60,2.89,0.10,12:58:28.800088
1.00,31.00,1060.00,200.00,0.77,2.60,2.89,0.10,12:58:29.008156
1.00,31.00,1060.00,200.00,0.77,2.60,2.89,0.10,12:58:29.209066
1.00,31.00,1060.00,200.00,0.77,2.60,2.89,0.10,12:58:29.408658
1.00,31.00,1060.00,200.00,0.77,2.60,2.89,0.10,12:58:29.608521
1.00,31.00,1060.00,200.00,0.77,2.60,2.89,0.10,12:58:29.798639
1.00,31.00,1060.00,200.00,0.77,2.60,2.89,0.10,12:58:30.011260
1.00,31.00,1060.00,200.00,0.77,2.60,2.89,0.10,12:58:30.208975
1.00,31.00,1060.00,110.00,0.78,2.60,2.89,0.11,12:58:30.408914
1.00,31.00,1060.00,110.00,0.78,2.60,2.89,0.11,12:58:30.620479
1.00,31.00,1060.00,110.00,0.78,2.60,2.89,0.11,12:58:30.870259
1.00,31.00,1060.00,110.00,0.78,2.60,2.89,0.11,12:58:31.078181
1.00,31.00,1060.00,110.00,0.78,2.60,2.89,0.11,12:58:31.279038
1.00,31.00,1060.00,110.00,0.78,2.60,2.89,0.11,12:58:31.482560
1.00,31.00,1060.00,110.00,0.78,2.60,2.89,0.11,12:58:31.702868
1.00,31.00,1060.00,110.00,0.78,2.60,2.89,0.11,12:58:31.908677
-78.00,-68.00,1010.00,1910.00,0.78,2.61,2.89,0.10,12:58:32.108929
-78.00,-68.00,1010.00,1910.00,0.78,2.61,2.89,0.10,12:58:32.312306
-78.00,-68.00,1010.00,1910.00,0.78,2.61,2.89,0.10,12:58:32.508472
-78.00,-68.00,1010.00,1910.00,0.78,2.61,2.89,0.10,12:58:32.761318
-78.00,-68.00,1010.00,1910.00,0.78,2.61,2.89,0.10,12:58:32.969980
-78.00,-68.00,1010.00,1910.00,0.78,2.61,2.89,0.10,12:58:33.172339
-78.00,-68.00,1010.00,1910.00,0.78,2.61,2.89,0.10,12:58:33.512814
-78.00,-68.00,1010.00,1910.00,0.78,2.61,2.89,0.10,12:58:33.858377
-102.00,-71.00,1300.00,2530.00,0.79,2.60,2.89,0.10,12:58:34.079289
-102.00,-71.00,1300.00,2530.00,0.79,2.60,2.89,0.10,12:58:34.300764
-102.00,-71.00,1300.00,2530.00,0.79,2.60,2.89,0.10,12:58:34.499265
-102.00,-71.00,1300.00,2530.00,0.79,2.60,2.89,0.10,12:58:34.712466
