SUSPENSION_HEIGHT_CUR_1,SUSPENSION_HEIGHT_CUR_2,SUSPENSION_HEIGHT_CUR_3,SUSPENSION_HEIGHT_CUR_4,SUSPENSION_PRESSURE_CUR_1,SUSPENSION_PRESSURE_CUR_2,SUSPENSION_PRESSURE_CUR_3,SUSPENSION_PRESSURE_CUR_4,STEERING_SERVO_CUR_POS_FRONT,STEERING_SERVO_CUR_POS_REAR,STEERING_SERVO_CURRENT_FRONT,STEERING_SERVO_CURRENT_REAR,time
3.00,5.00,4.00,2.00,2.42,0.62,0.03,2.88,-2.00,27.00,620.00,1960.00,14:49:19.534474
3.00,5.00,4.00,2.00,2.42,0.62,0.03,2.88,-2.00,27.00,620.00,1960.00,14:49:19.655502
3.00,5.00,4.00,2.00,2.42,0.62,0.03,2.88,-2.00,27.00,620.00,1960.00,14:49:19.895473
3.00,5.00,4.00,2.00,2.42,0.62,0.03,2.88,-2.00,27.00,620.00,1960.00,14:49:20.135471
3.00,5.00,4.00,2.00,2.42,0.62,0.03,2.88,-2.00,27.00,620.00,1960.00,14:49:20.355471
3.00,5.00,4.00,2.00,2.42,0.62,0.03,2.88,-2.00,27.00,620.00,1960.00,14:49:20.557470
3.00,5.00,4.00,2.00,2.42,0.62,0.03,2.88,-2.00,27.00,620.00,1960.00,14:49:20.765474
3.00,5.00,4.00,2.00,2.42,0.62,0.03,2.88,-2.00,27.00,620.00,1960.00,14:49:20.995470
3.00,5.00,4.00,2.00,2.42,0.62,0.03,2.88,-2.00,27.00,620.00,1960.00,14:49:21.226470
3.00,5.00,4.00,2.00,2.42,0.62,0.03,2.88,-2.00,27.00,620.00,1960.00,14:49:21.445472
3.00,5.00,4.00,2.00,2.42,0.62,0.03,2.88,-2.00,27.00,620.00,1960.00,14:49:21.645469
3.00,5.00,4.00,2.00,2.42,0.62,0.03,2.88,-2.00,27.00,620.00,1960.00,14:49:21.846469
3.00,5.00,4.00,2.00,2.42,0.62,0.03,2.88,-2.00,27.00,620.00,1960.00,14:49:22.045467
3.00,5.00,4.00,2.00,2.42,0.62,0.03,2.88,-2.00,27.00,620.00,1960.00,14:49:22.255469
1.00,2.00,5.00,40.00,2.43,0.61,0.03,2.95,-2.00,-26.00,1320.00,1640.00,14:49:22.479467
1.00,2.00,5.00,40.00,2.43,0.61,0.03,2.95,-2.00,-26.00,1320.00,1640.00,14:49:22.715468
1.00,2.00,5.00,40.00,2.43,0.61,0.03,2.95,-2.00,-26.00,1320.00,1640.00,14:49:22.925467
1.00,2.00,5.00,40.00,2.43,0.61,0.03,2.95,-2.00,-26.00,1320.00,1640.00,14:49:23.135469
1.00,2.00,5.00,40.00,2.43,0.61,0.03,2.95,-2.00,-26.00,1320.00,1640.00,14:49:23.345467
1.00,2.00,5.00,40.00,2.43,0.61,0.03,2.95,-2.00,-26.00,1320.00,1640.00,14:49:23.555468
1.00,2.00,5.00,40.00,2.43,0.61,0.03,2.95,-2.00,-26.00,1320.00,1640.00,14:49:23.765469
1.00,2.00,5.00,40.00,2.43,0.61,0.03,2.95,-2.00,-26.00,1320.00,1640.00,14:49:23.965466
1.00,2.00,5.00,40.00,2.43,0.61,0.03,2.95,-2.00,-26.00,1320.00,1640.00,14:49:24.165468
1.00,2.00,5.00,40.00,2.43,0.61,0.03,2.95,-2.00,-26.00,1320.00,1640.00,14:49:24.376466
1.00,2.00,5.00,40.00,2.43,0.61,0.03,2.95,-2.00,-26.00,1320.00,1640.00,14:49:24.636465
1.00,2.00,5.00,40.00,2.43,0.61,0.03,2.95,-2.00,-26.00,1320.00,1640.00,14:49:24.865469
1.00,0.00,5.00,40.00,2.38,0.57,0.02,2.95,-2.00,-26.00,1310.00,1630.00,14:49:25.135467
1.00,0.00,5.00,40.00,2.38,0.57,0.02,2.95,-2.00,-26.00,1310.00,1630.00,14:49:25.345465
1.00,0.00,5.00,40.00,2.38,0.57,0.02,2.95,-2.00,-26.00,1310.00,1630.00,14:49:25.545464
1.00,0.00,5.00,40.00,2.38,0.57,0.02,2.95,-2.00,-26.00,1310.00,1630.00,14:49:25.755463
1.00,0.00,5.00,40.00,2.38,0.57,0.02,2.95,-2.00,-26.00,1310.00,1630.00,14:49:25.965463
1.00,0.00,5.00,40.00,2.38,0.57,0.02,2.95,-2.00,-26.00,1310.00,1630.00,14:49:26.165463
1.00,0.00,5.00,40.00,2.38,0.57,0.02,2.95,-2.00,-26.00,1310.00,1630.00,14:49:26.379464
1.00,0.00,5.00,40.00,2.38,0.57,0.02,2.95,-2.00,-26.00,1310.00,1630.00,14:49:26.625463
1.00,0.00,5.00,40.00,2.38,0.57,0.02,2.95,-2.00,-26.00,1310.00,1630.00,14:49:26.845467
