STEERING_SERVO_CUR_POS_FRONT,STEERING_SERVO_CUR_POS_REAR,STEERING_SERVO_CURRENT_FRONT,STEERING_SERVO_CURRENT_REAR,time
,,,,15:12:44.345680
,,,,15:12:44.347731
,,,,15:12:44.714678
,,,,15:12:44.932678
,,,,15:12:45.142679
,,,,15:12:45.343681
271.00,157.00,0.00,980.00,15:12:45.552681
271.00,157.00,0.00,980.00,15:12:45.752716
271.00,157.00,0.00,980.00,15:12:46.079682
271.00,157.00,0.00,980.00,15:12:46.416683
271.00,-2.00,0.00,610.00,15:12:46.628682
271.00,-2.00,0.00,610.00,15:12:46.843681
271.00,-2.00,0.00,610.00,15:12:47.042682
271.00,-2.00,0.00,590.00,15:12:47.272714
271.00,-2.00,0.00,590.00,15:12:47.514688
271.00,-2.00,0.00,590.00,15:12:47.732681
271.00,-2.00,0.00,590.00,15:12:47.932683
271.00,-2.00,0.00,590.00,15:12:48.132682
271.00,-2.00,0.00,580.00,15:12:48.342683
271.00,-2.00,0.00,580.00,15:12:48.542724
271.00,-2.00,0.00,580.00,15:12:48.772685
271.00,-2.00,0.00,580.00,15:12:49.022685
271.00,-2.00,0.00,580.00,15:12:49.232684
271.00,-2.00,0.00,580.00,15:12:49.442725
271.00,-2.00,0.00,580.00,15:12:49.642688
271.00,-2.00,0.00,580.00,15:12:49.872683
271.00,-2.00,0.00,580.00,15:12:50.114722
