SUSPENSION_HEIGHT_CUR_1,SUSPENSION_HEIGHT_CUR_2,SUSPENSION_HEIGHT_CUR_3,SUSPENSION_HEIGHT_CUR_4,SUSPENSION_PRESSURE_CUR_1,SUSPENSION_PRESSURE_CUR_2,SUSPENSION_PRESSURE_CUR_3,SUSPENSION_PRESSURE_CUR_4,time
-41.00,-40.00,-75.00,-68.00,1.20,1.31,0.69,0.75,18:05:28.704387
-41.00,-40.00,-75.00,-68.00,1.20,1.31,0.69,0.75,18:05:28.706387
-41.00,-40.00,-75.00,-68.00,1.20,1.31,0.69,0.75,18:05:29.075172
-41.00,-40.00,-75.00,-68.00,1.20,1.31,0.69,0.75,18:05:29.284810
-41.00,-40.00,-75.00,-68.00,1.20,1.31,0.69,0.75,18:05:29.484962
-41.00,-40.00,-75.00,-68.00,1.20,1.31,0.69,0.75,18:05:29.685009
-41.00,-40.00,-75.00,-68.00,1.20,1.31,0.69,0.75,18:05:29.897294
-41.00,-40.00,-75.00,-68.00,1.20,1.31,0.69,0.75,18:05:30.105533
-41.00,-40.00,-75.00,-68.00,1.20,1.31,0.69,0.75,18:05:30.324993
-41.00,-40.00,-75.00,-68.00,1.20,1.31,0.69,0.75,18:05:30.539699
-41.00,-40.00,-75.00,-68.00,1.20,1.32,0.69,0.75,18:05:30.774850
-41.00,-40.00,-75.00,-68.00,1.20,1.32,0.69,0.75,18:05:30.974872
-41.00,-40.00,-75.00,-68.00,1.20,1.32,0.69,0.75,18:05:31.185048
-41.00,-40.00,-75.00,-68.00,1.20,1.32,0.69,0.75,18:05:31.385284
-41.00,-40.00,-75.00,-68.00,1.20,1.32,0.69,0.75,18:05:31.595145
-41.00,-40.00,-75.00,-68.00,1.20,1.32,0.69,0.75,18:05:31.804766
-41.00,-40.00,-75.00,-68.00,1.20,1.32,0.69,0.75,18:05:32.006819
-41.00,-40.00,-75.00,-68.00,1.20,1.32,0.69,0.75,18:05:32.205393
-39.00,-40.00,-75.00,-68.00,1.20,1.32,0.69,0.75,18:05:32.404825
-39.00,-40.00,-75.00,-68.00,1.20,1.32,0.69,0.75,18:05:32.605419
-39.00,-40.00,-75.00,-68.00,1.20,1.32,0.69,0.75,18:05:32.815108
-39.00,-40.00,-75.00,-68.00,1.20,1.32,0.69,0.75,18:05:33.025676
-39.00,-40.00,-75.00,-68.00,1.20,1.32,0.69,0.75,18:05:33.235657
-39.00,-40.00,-75.00,-68.00,1.20,1.32,0.69,0.75,18:05:33.435664
-39.00,-40.00,-75.00,-68.00,1.20,1.32,0.69,0.75,18:05:33.639703
