BRAKE_CONT1_CUR_PRESSURE_CANOPEN,BRAKE_CONT2_CUR_PRESSURE_CANOPEN,BRAKE_CURVE_PRESSURE_1,BRAKE_CURVE_PRESSURE_2,BRAKE_CURVE_PRESSURE_3,BRAKE_CURVE_PRESSURE_4,BRAKE_CURVE_PRESSURE_5,BRAKE_CURVE_TIME_1,BRAKE_CURVE_TIME_2,BRAKE_CURVE_TIME_3,BRAKE_CURVE_TIME_4,BRAKE_CURVE_TIME_5,time
,,,,,,,,,,,,11:48:04.749399
,,,,,,,,,,,,11:48:04.751445
,,,,,,,,,,,,11:48:05.246329
,,,,,,,,,,,,11:48:05.461713
,,,,,,,,,,,,11:48:05.661551
,,,,,,,,,,,,11:48:05.861125
,,,,,,,,,,,,11:48:06.072252
,,,,,,,,,,,,11:48:06.291707
,,,,,,,,,,,,11:48:06.502297
,,,,,,,,,,,,11:48:06.711857
,,,,,,,,,,,,11:48:06.911233
,,,,,,,,,,,,11:48:07.122243
,,,,,,,,,,,,11:48:07.321215
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:07.733422
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:07.931415
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:08.132935
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:08.332167
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:08.541913
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:08.751115
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:08.962143
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:09.161864
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:09.361498
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:09.572022
