SYSTEM_12V_VOLTAGE,SYSTEM_12V_VOLTAGE_LOWER_LIM,SYSTEM_12V_VOLTAGE_UPPER_LIM,SYSTEM_24V_VOLTAGE,SYSTEM_24V_VOLTAGE_LOWER_LIM,SYSTEM_24V_VOLTAGE_UPPER_LIM,SYSTEM_BKU_MSG_TIMEOUT,SYSTEM_BKU_ONLINE,SYSTEM_BMS_ONLINE,SYSTEM_BZU_ONLINE,SYSTEM_PSTED_ONLINE,time
,,,,,,,,,,,11:51:25.510429
,,,,,,,,,,,11:51:25.512400
,,,,,,,,,,,11:51:26.023608
,,,,,,,,,,,11:51:26.239136
,,,,,,,,,,,11:51:26.439396
,,,,,,,,,,,11:51:26.639899
,,,,,,,,,,,11:51:26.851486
,,,,,,,,,,,11:51:27.060214
,,,,,,,,,,,11:51:27.271344
,,,,,,,,,,,11:51:27.500141
,,,,,,,,,,,11:51:27.699477
,,,,,,,,,,,11:51:27.912276
,,,,,,,,,,,11:51:28.130019
0.00,11000.00,15000.00,22111.00,23000.00,28000.00,200.00,0.00,1.00,0.00,0.00,11:51:28.522275
0.00,11000.00,15000.00,22111.00,23000.00,28000.00,200.00,0.00,1.00,0.00,0.00,11:51:28.739688
0.00,11000.00,15000.00,22111.00,23000.00,28000.00,200.00,0.00,1.00,0.00,0.00,11:51:28.939614
0.00,11000.00,15000.00,22111.00,23000.00,28000.00,200.00,0.00,1.00,0.00,0.00,11:51:29.140127
0.00,11000.00,15000.00,22111.00,23000.00,28000.00,200.00,0.00,1.00,0.00,0.00,11:51:29.349548
0.00,11000.00,15000.00,22111.00,23000.00,28000.00,200.00,0.00,1.00,0.00,0.00,11:51:29.549546
0.00,11000.00,15000.00,22111.00,23000.00,28000.00,200.00,0.00,1.00,0.00,0.00,11:51:29.760231
0.00,11000.00,15000.00,22111.00,23000.00,28000.00,200.00,0.00,1.00,0.00,0.00,11:51:29.970372
0.00,11000.00,15000.00,22111.00,23000.00,28000.00,200.00,0.00,1.00,0.00,0.00,11:51:30.192286
0.00,11000.00,15000.00,22111.00,23000.00,28000.00,200.00,0.00,1.00,0.00,0.00,11:51:30.410266
0.00,11000.00,15000.00,22111.00,23000.00,28000.00,200.00,0.00,1.00,0.00,0.00,11:51:30.610061
0.00,11000.00,15000.00,22110.00,23000.00,28000.00,200.00,0.00,1.00,0.00,0.00,11:51:30.810181
0.00,11000.00,15000.00,22110.00,23000.00,28000.00,200.00,0.00,1.00,0.00,0.00,11:51:31.209969
0.00,11000.00,15000.00,22110.00,23000.00,28000.00,200.00,0.00,1.00,0.00,0.00,11:51:31.419655
0.00,11000.00,15000.00,22110.00,23000.00,28000.00,200.00,0.00,1.00,0.00,0.00,11:51:31.630437
0.00,11000.00,15000.00,22110.00,23000.00,28000.00,200.00,0.00,1.00,0.00,0.00,11:51:31.829969
0.00,11000.00,15000.00,22110.00,23000.00,28000.00,200.00,0.00,1.00,0.00,0.00,11:51:32.030077
0.00,11000.00,15000.00,22110.00,23000.00,28000.00,200.00,0.00,1.00,0.00,0.00,11:51:32.229980
0.00,11000.00,15000.00,22110.00,23000.00,28000.00,200.00,0.00,1.00,0.00,0.00,11:51:32.439687
