Напряжение ЗПТ,Потребляемый ток,Ток обмотки возбуждения,Ток статора,Ток фазы А,Ток фазы В,Ток фазы С,Ток Id,Ток Iq,Температура фазы А,Температура фазы В,Температура фазы С,Температура воздуха,Температура статора,Температура ОВ,Gamma,Скорость мотора,Момент,Мощность механическая,Мощность электрическая,time
8.79,-0.04,0.00,0.00,-0.00,-0.15,-0.11,0.00,0.00,0.00,0.00,0.00,28.37,41.13,34.44,0.00,0.00,0.00,0.00,0.00,18:07:55.298571
8.79,-0.04,0.00,0.00,-0.00,-0.15,-0.11,0.00,0.00,0.00,0.00,0.00,28.37,41.13,34.44,0.00,0.00,0.00,0.00,0.00,18:07:55.422235
8.79,-0.04,0.00,0.00,-0.00,-0.15,-0.11,0.00,0.00,0.00,0.00,0.00,28.37,41.13,34.44,0.00,0.00,0.00,0.00,0.00,18:07:56.378185
8.79,-0.04,0.00,0.00,-0.00,-0.15,-0.11,0.00,0.00,0.00,0.00,0.00,28.37,41.13,34.44,0.00,0.00,0.00,0.00,0.00,18:07:56.401181
8.79,-0.04,0.00,0.00,-0.00,-0.15,-0.11,0.00,0.00,0.00,0.00,0.00,28.37,41.13,34.44,0.00,0.00,0.00,0.00,0.00,18:07:56.412187
8.79,-0.04,0.00,0.00,-0.00,-0.15,-0.11,0.00,0.00,0.00,0.00,0.00,28.37,41.13,34.44,0.00,0.00,0.00,0.00,0.00,18:07:56.425186
8.79,-0.04,0.00,0.00,-0.00,-0.15,-0.11,0.00,0.00,0.00,0.00,0.00,28.37,41.13,34.44,0.00,0.00,0.00,0.00,0.00,18:07:56.438185
8.79,-0.04,0.00,0.00,-0.00,-0.15,-0.11,0.00,0.00,0.00,0.00,0.00,28.37,41.13,34.44,0.00,0.00,0.00,0.00,0.00,18:07:56.455185
8.79,-0.04,0.00,0.00,-0.00,-0.15,-0.11,0.00,0.00,0.00,0.00,0.00,28.37,41.13,34.44,0.00,0.00,0.00,0.00,0.00,18:07:56.467184
8.79,-0.04,0.00,0.00,-0.00,-0.15,-0.11,0.00,0.00,0.00,0.00,0.00,28.37,41.13,34.44,0.00,0.00,0.00,0.00,0.00,18:07:56.476219
8.79,-0.04,0.00,0.00,-0.00,-0.15,-0.11,0.00,0.00,0.00,0.00,0.00,28.37,41.13,34.44,0.00,0.00,0.00,0.00,0.00,18:07:56.486182
8.79,-0.04,0.00,0.00,-0.00,-0.15,-0.11,0.00,0.00,0.00,0.00,0.00,28.37,41.13,34.44,0.00,0.00,0.00,0.00,0.00,18:07:56.495184
8.79,-0.04,0.00,0.00,-0.00,-0.15,-0.11,0.00,0.00,0.00,0.00,0.00,28.37,41.13,34.44,0.00,0.00,0.00,0.00,0.00,18:07:56.513188
8.79,-0.04,0.00,0.00,-0.00,-0.15,-0.11,0.00,0.00,0.00,0.00,0.00,28.37,41.13,34.44,0.00,0.00,0.00,0.00,0.00,18:07:56.523296
8.79,-0.04,0.00,0.00,-0.00,-0.15,-0.11,0.00,0.00,0.00,0.00,0.00,28.37,41.13,34.44,0.00,0.00,0.00,0.00,0.00,18:07:56.534183
8.79,-0.04,0.00,0.00,-0.00,-0.15,-0.11,0.00,0.00,0.00,0.00,0.00,28.37,41.13,34.44,0.00,0.00,0.00,0.00,0.00,18:07:56.544185
8.79,-0.04,0.00,0.00,-0.00,-0.15,-0.11,0.00,0.00,0.00,0.00,0.00,28.37,41.13,34.44,0.00,0.00,0.00,0.00,0.00,18:07:56.556186
8.79,-0.04,0.00,0.00,-0.00,-0.15,-0.11,0.00,0.00,0.00,0.00,0.00,28.37,41.13,34.44,0.00,0.00,0.00,0.00,0.00,18:07:56.588186
8.79,-0.04,0.00,0.00,-0.00,-0.15,-0.11,0.00,0.00,0.00,0.00,0.00,28.37,41.13,34.44,0.00,0.00,0.00,0.00,0.00,18:07:56.603803
8.79,-0.04,0.00,0.00,-0.00,-0.15,-0.11,0.00,0.00,0.00,0.00,0.00,28.37,41.13,34.44,0.00,0.00,0.00,0.00,0.00,18:07:56.614606
