PSTED_MOTOR_SPEED,PSTED_CURRENT,PSTED_VOLTAGE,STEERING_SERVO_CUR_POS_FRONT,STEERING_SERVO_CUR_POS_REAR,STEERING_SERVO_CURRENT_FRONT,STEERING_SERVO_CURRENT_REAR,SUSPENSION_HEIGHT_CUR_1,SUSPENSION_HEIGHT_CUR_2,SUSPENSION_HEIGHT_CUR_3,SUSPENSION_HEIGHT_CUR_4,time
,,,,,,,,,,,18:24:15.094072
,,,,,,,,,,,18:24:15.227755
,,,,,,,,,,,18:24:15.258409
,,,,,,,,,,,18:24:15.297666
,,,,,,,,,,,18:24:15.307554
,,,,,,,,,,,18:24:15.319624
,,,,,,,,,,,18:24:15.337699
,,,,,,,,,,,18:24:15.359406
,,,,,,,,,,,18:24:15.398290
,,,,,,,,,,,18:24:15.407320
,,,,,,,,,,,18:24:15.417687
,,,,,,,,,,,18:24:15.437763
0.00,0.00,6.35,-2.00,33.00,1210.00,150.00,-62.00,-54.00,-26.00,-10.00,18:24:15.458461
0.00,0.00,6.35,-2.00,33.00,1210.00,150.00,-62.00,-54.00,-26.00,-10.00,18:24:15.497498
0.00,0.00,6.35,-2.00,33.00,1210.00,150.00,-62.00,-54.00,-26.00,-10.00,18:24:15.507621
0.00,0.00,6.35,-2.00,33.00,1210.00,150.00,-62.00,-54.00,-26.00,-10.00,18:24:15.517497
0.00,0.00,6.35,-2.00,33.00,1210.00,150.00,-62.00,-54.00,-26.00,-10.00,18:24:15.537500
0.00,0.00,6.35,-2.00,33.00,1210.00,150.00,-62.00,-54.00,-26.00,-10.00,18:24:15.560453
0.00,0.00,6.35,-2.00,33.00,1210.00,150.00,-62.00,-54.00,-26.00,-10.00,18:24:15.597497
0.00,0.00,6.35,-2.00,33.00,1210.00,150.00,-62.00,-54.00,-26.00,-10.00,18:24:15.607672
0.00,0.00,6.35,-2.00,33.00,1210.00,150.00,-62.00,-54.00,-26.00,-10.00,18:24:15.617852
0.00,0.00,6.35,-2.00,33.00,1210.00,150.00,-62.00,-54.00,-26.00,-10.00,18:24:15.637506
0.00,0.00,6.35,-2.00,33.00,1210.00,150.00,-62.00,-54.00,-26.00,-10.00,18:24:15.660497
0.00,0.00,6.35,-2.00,33.00,1210.00,140.00,-62.00,-54.00,-26.00,-10.00,18:24:15.698647
0.00,0.00,6.35,-2.00,33.00,1210.00,140.00,-62.00,-54.00,-26.00,-10.00,18:24:15.717506
0.00,0.00,6.35,-2.00,33.00,1210.00,140.00,-62.00,-54.00,-26.00,-10.00,18:24:15.737499
0.00,0.00,6.35,-2.00,33.00,1210.00,140.00,-62.00,-54.00,-26.00,-10.00,18:24:15.759459
