Тип управляющего задания,Коэффициент усиления пропорциональной составляющей регулятора скорости,Коэффициент усиления интегрирующей составляющей регулятора скорости,Коэффициент усиления пропорциональной составляющей регулятора тока Id,Коэффициент усиления интегрирующей составляющей регулятора тока Id,Коэффициент усиления пропорциональной составляющей регулятора тока Iq,Коэффициент усиления интегрирующей составляющей регулятора тока Iq,Коэффициент усиления пропорциональной составляющей регулятора тока возбуждения,Коэффициент усиления интегрирующей составляющей регулятора тока возбуждения,Максимальный ток двигателя в двигательном режиме,Максимальный ток двигателя в режиме торможения,Максимальный ток возбуждения,Максимальный момент в положительном направлении,Максимальный момент в отрицательном направлении,Максимальная скорость,Коэффициент усиления пропорциональной составляющей регулятора ослабления поля,Коэффициент усиления интегрирующей составляющей регулятора ослабления поля,Ограничение выхода регулятора ослабления поля,time
,,,,,,,,,,,,,,,,,,18:59:15.428593
,,,,,,,,,,,,,,,,,,18:59:20.671230
,,,,,,,,,,,,,,,,,,18:59:28.038337
,,,,,,,,,,,,,,,,,,18:59:28.480539
,,,,,,,,,,,,,,,,,,18:59:28.490951
,,,,,,,,,,,,,,,,,,18:59:28.497472
,,,,,,,,,,,,,,,,,,18:59:28.502736
,,,,,,,,,,,,,,,,,,18:59:28.507805
,,,,,,,,,,,,,,,,,,18:59:28.514017
,,,,,,,,,,,,,,,,,,18:59:28.519027
,,,,,,,,,,,,,,,,,,18:59:28.525399
,,,,,,,,,,,,,,,,,,18:59:28.532298
,,,,,,,,,,,,,,,,,,18:59:28.537456
,,,,,,,,,,,,,,,,,,18:59:28.542304
,,,,,,,,,,,,,,,,,,18:59:28.676901
,,,,,,,,,,,,,,,,,,18:59:28.805717
,,,,,,,,,,,,,,,,,,18:59:28.812494
,,,,,,,,,,,,,,,,,,18:59:28.817706
,,,,,,,,,,,,,,,,,,18:59:28.823127
,,,2.2,0.022,1.1,0.011,50,0.05,270,270,30,140,-140,8000,1,10,75,18:59:28.828415
,,,2.2,0.022,1.1,0.011,50,0.05,270,270,30,140,-140,8000,1,10,75,18:59:28.833264
,,,2.2,0.022,1.1,0.011,50,0.05,270,270,30,140,-140,8000,1,10,75,18:59:28.838268
,,,2.2,0.022,1.1,0.011,50,0.05,270,270,30,140,-140,8000,1,10,75,18:59:28.842931
,,,2.2,0.022,1.1,0.011,50,0.05,270,270,30,140,-140,8000,1,10,75,18:59:28.847934
,,,2.2,0.022,1.1,0.011,50,0.05,270,270,30,140,-140,8000,1,10,75,18:59:28.852930
,,,2.2,0.022,1.1,0.011,50,0.05,270,270,30,140,-140,8000,1,10,75,18:59:28.857488
,,,2.2,0.022,1.1,0.011,50,0.05,270,270,30,140,-140,8000,1,10,75,18:59:28.862526
,,,2.2,0.022,1.1,0.011,50,0.05,270,270,30,140,-140,8000,1,10,75,18:59:28.868533
,,,2.2,0.022,1.1,0.011,50,0.05,270,270,30,140,-140,8000,1,10,75,18:59:28.872684
,,,2.2,0.022,1.1,0.011,50,0.05,270,270,30,140,-140,8000,1,10,75,18:59:28.878230
,,,2.2,0.022,1.1,0.011,50,0.05,270,270,30,140,-140,8000,1,10,75,18:59:28.883206
,,,2.2,0.022,1.1,0.011,50,0.05,270,270,30,140,-140,8000,1,10,75,18:59:28.888206
,,,2.2,0.022,1.1,0.011,50,0.05,270,270,30,140,-140,8000,1,10,75,18:59:28.893094
,,,2.2,0.022,1.1,0.011,50,0.05,270,270,30,140,-140,8000,1,10,75,18:59:28.899100
,,,2.2,0.022,1.1,0.011,50,0.05,270,270,30,140,-140,8000,1,10,75,18:59:28.904112
