STEERING_SERVO_CUR_POS_FRONT,STEERING_SERVO_CUR_POS_REAR,STEERING_SERVO_CURRENT_FRONT,STEERING_SERVO_CURRENT_REAR,STEERING_SERVO_TEMP_FRONT,STEERING_SERVO_TEMP_REAR,time
,,,,,,19:13:34.437072
,,,,,,19:13:34.552059
,,,,,,19:13:34.571772
,,,,,,19:13:34.611774
,,,,,,19:13:34.642352
,,,,,,19:13:34.652398
,,,,,,19:13:34.661845
-61,16,1040,140,62,61,19:13:34.671847
-61,16,1040,140,62,61,19:13:34.712086
-61,16,1040,140,62,61,19:13:34.742147
-61,16,1040,140,62,61,19:13:34.752253
-61,16,1040,140,62,61,19:13:34.761688
-61,16,1040,140,62,61,19:13:34.771780
-61,16,1050,130,62,60,19:13:34.812218
-61,16,1050,130,62,60,19:13:34.841770
-61,16,1050,130,62,60,19:13:34.852143
-61,16,1050,130,62,60,19:13:34.862066
-61,16,1050,130,62,60,19:13:34.871807
-61,16,1050,130,62,60,19:13:34.912126
-61,16,1050,130,62,60,19:13:34.942148
-61,16,1050,130,62,60,19:13:34.952270
-61,16,1050,130,62,60,19:13:34.962260
-61,16,1050,130,62,60,19:13:34.972010
-61,16,1050,130,62,60,19:13:35.011751
-61,16,1050,130,62,60,19:13:35.041586
-61,16,1050,120,62,61,19:13:35.051971
-61,16,1050,120,62,61,19:13:35.061935
-61,16,1050,120,62,61,19:13:35.082645
-61,16,1050,120,62,61,19:13:35.121506
-61,16,1050,120,62,61,19:13:35.151928
-61,16,1050,120,62,61,19:13:35.161884
-61,16,1040,110,62,61,19:13:35.171868
-61,16,1040,110,62,61,19:13:35.212125
-61,16,1040,110,62,61,19:13:35.241580
-61,16,1040,110,62,61,19:13:35.252130
-61,16,1040,110,62,61,19:13:35.261924
-61,16,1040,110,62,61,19:13:35.271923
-61,16,1040,110,62,61,19:13:35.332211
-61,16,1040,110,62,61,19:13:35.361920
-61,16,1040,110,62,61,19:13:35.371918
-61,16,1040,110,62,61,19:13:35.412106
-61,16,1040,110,62,61,19:13:35.442121
-61,16,1040,110,62,61,19:13:35.451806
-61,16,1050,110,62,61,19:13:35.462027
-61,16,1050,110,62,61,19:13:35.471819
-61,16,1050,110,62,61,19:13:35.512029
-61,16,1050,110,62,61,19:13:35.542017
-61,16,1050,110,62,61,19:13:35.551884
-61,16,1050,110,62,61,19:13:35.561936
-61,16,1050,150,62,61,19:13:35.571981
-61,16,1050,150,62,61,19:13:35.642018
-61,16,1050,150,62,61,19:13:35.652299
-61,16,1050,150,62,61,19:13:35.662501
-61,16,1050,150,62,61,19:13:35.672264
-61,16,1050,150,62,61,19:13:35.712250
-61,16,1040,130,62,61,19:13:35.741793
-61,16,1040,130,62,61,19:13:35.752035
-61,16,1040,130,62,61,19:13:35.762084
-61,16,1040,130,62,61,19:13:35.772352
-61,16,1040,130,62,61,19:13:35.811265
-61,16,1040,130,62,61,19:13:35.842018
-61,16,1040,130,62,61,19:13:35.852076
-61,16,1040,130,62,61,19:13:35.862255
-61,16,1040,130,62,61,19:13:35.872368
-61,16,1040,130,62,61,19:13:35.912212
-61,16,1040,130,62,61,19:13:35.941994
