Разрешить местное управление,Зад. электрический момент,Команда на переднюю рулевую серво,Команда на заднюю рулевую серво,Команда на плавое торможение,Команда на дискретный тормоз,Стояночный тормоз отпустить,time
,,,,,,,18:14:06.108704
,,,,,,,18:14:06.222958
,,,,,,,18:14:06.231792
,,,,,,,18:14:06.241267
,,,,,,,18:14:06.251405
,,,,,,,18:14:06.260516
,,,,,,,18:14:06.266929
,,,,,,,18:14:06.273354
0,0,0,0,0,0,0,18:14:06.280233
0,0,0,0,0,0,0,18:14:06.287133
0,0,0,0,0,0,0,18:14:06.293155
0,0,0,0,0,0,0,18:14:06.299993
0,0,0,0,0,0,0,18:14:06.308301
0,0,0,0,0,0,0,18:14:06.316854
0,0,0,0,0,0,0,18:14:06.327009
0,0,0,0,0,0,0,18:14:06.334630
0,0,0,0,0,0,0,18:14:06.342405
0,0,0,0,0,0,0,18:14:06.350485
0,0,0,0,0,0,0,18:14:06.359358
0,0,0,0,0,0,0,18:14:06.367839
0,0,0,0,0,0,0,18:14:06.376910
0,0,0,0,0,0,0,18:14:06.387478
0,0,0,0,0,0,0,18:14:06.398071
0,0,0,0,0,0,0,18:14:06.408334
0,0,0,0,0,0,0,18:14:06.418315
0,0,0,0,0,0,0,18:14:06.429547
0,0,0,0,0,0,0,18:14:06.438741
0,0,0,0,0,0,0,18:14:06.448394
0,0,0,0,0,0,0,18:14:06.458969
0,0,0,0,0,0,0,18:14:06.467952
0,0,0,0,0,0,0,18:14:06.477050
0,0,0,0,0,0,0,18:14:06.484974
0,0,0,0,0,0,0,18:14:06.491838
0,0,0,0,0,0,0,18:14:06.500236
0,0,0,0,0,0,0,18:14:06.508165
0,0,0,0,0,0,0,18:14:06.518235
0,0,0,0,0,0,0,18:14:06.527190
0,0,0,0,0,0,0,18:14:06.534645
0,0,0,0,0,0,0,18:14:06.542457
0,0,0,0,0,0,0,18:14:06.550974
0,0,0,0,0,0,0,18:14:06.559186
0,0,0,0,0,0,0,18:14:06.567528
0,0,0,0,0,0,0,18:14:06.577690
0,0,0,0,0,0,0,18:14:06.588057
0,0,0,0,0,0,0,18:14:06.598644
0,0,0,0,0,0,0,18:14:06.608337
0,0,0,0,0,0,0,18:14:06.618368
0,0,0,0,0,0,0,18:14:06.627960
0,0,0,0,0,0,0,18:14:06.637328
0,0,0,0,0,0,0,18:14:06.647635
0,0,0,0,0,0,0,18:14:06.659455
0,0,0,0,0,0,0,18:14:06.667714
0,0,0,0,0,0,0,18:14:06.677846
0,0,0,0,0,0,0,18:14:06.686649
0,0,0,0,0,0,0,18:14:06.694923
0,0,0,0,0,0,0,18:14:06.702470
0,0,0,0,0,0,0,18:14:06.710483
0,0,0,0,0,0,0,18:14:06.720804
0,0,0,0,0,0,0,18:14:06.729545
0,0,0,0,0,0,0,18:14:06.737268
0,0,0,0,0,0,0,18:14:06.745346
0,0,0,0,0,0,0,18:14:06.753367
0,0,0,0,0,0,0,18:14:06.761625
0,0,0,0,0,0,0,18:14:06.769428
0,0,0,0,0,0,0,18:14:06.778036
0,0,0,0,0,0,0,18:14:06.787371
0,0,0,0,0,0,0,18:14:06.795123
0,0,0,0,0,0,0,18:14:06.802945
0,0,0,0,0,0,0,18:14:06.811108
0,0,0,0,0,0,0,18:14:06.819284
0,0,0,0,0,0,0,18:14:06.827458
0,0,0,0,0,0,0,18:14:06.836864
0,0,0,0,0,0,0,18:14:06.844886
0,0,0,0,0,0,0,18:14:06.851980
0,0,0,0,0,0,0,18:14:06.859994
0,0,0,0,0,0,0,18:14:06.867909
0,0,0,0,0,0,0,18:14:06.876521
0,0,0,0,0,0,0,18:14:06.884099
0,0,0,0,0,0,0,18:14:06.892272
0,0,0,0,0,0,0,18:14:06.900426
0,0,0,0,0,0,0,18:14:06.909079
0,0,0,0,0,0,0,18:14:06.917831
0,0,0,0,0,0,0,18:14:06.926264
0,0,0,0,0,0,0,18:14:06.934042
0,0,0,0,0,0,0,18:14:06.941933
0,0,0,0,0,0,0,18:14:06.950338
0,0,0,0,0,0,0,18:14:06.958522
0,0,0,0,0,0,0,18:14:06.967697
0,0,0,0,0,0,0,18:14:06.976530
0,0,0,0,0,0,0,18:14:06.986433
0,0,0,0,0,0,0,18:14:06.996418
0,0,0,0,0,0,0,18:14:07.007961
0,0,0,0,0,0,0,18:14:07.017780
0,0,0,0,0,0,0,18:14:07.026636
0,0,0,0,0,0,0,18:14:07.036655
0,0,0,0,0,0,0,18:14:07.046433
0,0,0,0,0,0,0,18:14:07.057666
0,0,0,0,0,0,0,18:14:07.067383
0,0,0,0,0,0,0,18:14:07.077148
0,0,0,0,0,0,0,18:14:07.087301
0,0,0,0,0,0,0,18:14:07.096991
0,0,0,0,0,0,0,18:14:07.231137
0,0,0,0,0,0,0,18:14:07.360256
0,0,0,0,0,0,0,18:14:07.369430
