Использовать заднюю рулевую рейку,Номер устройства,Работа,Уст. нулевого положения,Задание положения,Статус,Текущее положение,Ток статора,Температура инвертора,Температура двигателя,CAN-PDO online,Счетчик RPDO1,DropCounter1,"Ограничение рулевой рейки ""+""","Ограничение рулевой рейки ""-""",Нулевое положение рулевой рейки,Т фильтра,Множитель для показаний тока рулевых,Номер устройства,Работа,Уст. нулевого положения,Задание положения,Статус,Текущее положение,Ток статора,Температура инвертора,Температура двигателя,CAN-PDO online,Счетчик RPDO1,DropCounter1,"Ограничение рулевой рейки ""+""","Ограничение рулевой рейки ""-""",Нулевое положение рулевой рейки,Т фильтра,Множитель для показаний тока рулевых,time
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18:14:11.268581
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18:14:11.386463
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18:14:11.402365
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18:14:11.417944
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18:14:11.433740
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18:14:11.448499
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18:14:11.464057
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18:14:11.479264
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18:14:11.494066
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18:14:11.507639
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18:14:11.517108
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18:14:11.528563
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18:14:11.539094
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18:14:11.550533
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18:14:11.561589
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18:14:11.572093
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18:14:11.583290
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18:14:11.594059
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18:14:11.607059
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18:14:11.617110
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18:14:11.628564
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18:14:11.639112
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18:14:11.649108
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18:14:11.659622
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18:14:11.670108
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18:14:11.681109
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18:14:11.692109
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18:14:11.701587
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18:14:11.712436
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18:14:11.723580
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18:14:11.735060
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18:14:11.746624
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18:14:11.757108
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18:14:11.768110
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18:14:11.779495
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18:14:11.791061
0,15,0,0,0,0,0,710,30,30,1,18860,59,1000,-1000,-18,0.005,10,15,0,0,0,0,0,0,0,0,0,16976,119,1000,-1000,0,0.005,10,18:14:11.803660
0,15,0,0,0,0,0,710,30,30,1,18860,59,1000,-1000,-18,0.005,10,15,0,0,0,0,0,0,0,0,0,16976,119,1000,-1000,0,0.005,10,18:14:11.817060
0,15,0,0,0,0,0,710,30,30,1,18860,59,1000,-1000,-18,0.005,10,15,0,0,0,0,0,0,0,0,0,16976,119,1000,-1000,0,0.005,10,18:14:11.827059
0,15,0,0,0,0,0,710,30,30,1,18860,59,1000,-1000,-18,0.005,10,15,0,0,0,0,0,0,0,0,0,16976,119,1000,-1000,0,0.005,10,18:14:11.838231
0,15,0,0,0,0,0,710,30,30,1,18860,59,1000,-1000,-18,0.005,10,15,0,0,0,0,0,0,0,0,0,16976,119,1000,-1000,0,0.005,10,18:14:11.849467
0,15,0,0,0,0,0,710,30,30,1,18860,59,1000,-1000,-18,0.005,10,15,0,0,0,0,0,0,0,0,0,16976,119,1000,-1000,0,0.005,10,18:14:11.860814
0,15,0,0,0,0,0,710,30,30,1,18860,59,1000,-1000,-18,0.005,10,15,0,0,0,0,0,0,0,0,0,16976,119,1000,-1000,0,0.005,10,18:14:11.871075
0,15,0,0,0,0,0,710,30,30,1,18860,59,1000,-1000,-18,0.005,10,15,0,0,0,0,0,0,0,0,0,16976,119,1000,-1000,0,0.005,10,18:14:11.880095
0,15,0,0,0,0,0,710,30,30,1,18860,59,1000,-1000,-18,0.005,10,15,0,0,0,0,0,0,0,0,0,16976,119,1000,-1000,0,0.005,10,18:14:11.891690
0,15,0,0,0,0,0,710,30,30,1,18860,59,1000,-1000,-18,0.005,10,15,0,0,0,0,0,0,0,0,0,16976,119,1000,-1000,0,0.005,10,18:14:11.901959
0,15,0,0,0,0,0,710,30,30,1,18860,59,1000,-1000,-18,0.005,10,15,0,0,0,0,0,0,0,0,0,16976,119,1000,-1000,0,0.005,10,18:14:11.913106
0,15,0,0,0,0,0,710,30,30,1,18860,59,1000,-1000,-18,0.005,10,15,0,0,0,0,0,0,0,0,0,16976,119,1000,-1000,0,0.005,10,18:14:11.925058
0,15,0,0,0,0,0,710,30,30,1,18860,59,1000,-1000,-18,0.005,10,15,0,0,0,0,0,0,0,0,0,16976,119,1000,-1000,0,0.005,10,18:14:11.937055
0,15,0,0,0,0,0,710,30,30,1,18860,59,1000,-1000,-18,0.005,10,15,0,0,0,0,0,0,0,0,0,16976,119,1000,-1000,0,0.005,10,18:14:11.948562
0,15,0,0,0,0,0,710,30,30,1,18860,59,1000,-1000,-18,0.005,10,15,0,0,0,0,0,0,0,0,0,16976,119,1000,-1000,0,0.005,10,18:14:11.959795
0,15,0,0,0,0,0,710,30,30,1,18860,59,1000,-1000,-18,0.005,10,15,0,0,0,0,0,0,0,0,0,16976,119,1000,-1000,0,0.005,10,18:14:11.971060
0,15,0,0,0,0,0,710,30,30,1,18860,59,1000,-1000,-18,0.005,10,15,0,0,0,0,0,0,0,0,0,16976,119,1000,-1000,0,0.005,10,18:14:11.982108
0,15,0,0,0,0,0,710,30,30,1,18860,59,1000,-1000,-18,0.005,10,15,0,0,0,0,0,0,0,0,0,16976,119,1000,-1000,0,0.005,10,18:14:11.991867
0,15,0,0,0,0,0,710,30,30,1,18860,59,1000,-1000,-18,0.005,10,15,0,0,0,0,0,0,0,0,0,16976,119,1000,-1000,0,0.005,10,18:14:12.000462
