PSTED_TORQUE,PSTED_MOTOR_SPEED,PSTED_CURRENT,PSTED_VOLTAGE,PSTED_MOTOR_TEMP,PSTED_INV_RADIATOR_TEMP,PSTED_OUT_BMS_VOLTAGE,SYSTEM_24V_VOLTAGE,time
,,,,,,,,18:09:38.299109
,,,,,,,,18:09:38.300110
,,,,,,,,18:09:38.621740
,,,,,,,,18:09:38.818547
,,,,,,,,18:09:39.011726
,,,,,,,,18:09:39.209412
,,,,,,,,18:09:39.419482
,,,,,,,,18:09:39.618778
,,,,,,,,18:09:39.819451
,,,,,,,,18:09:40.021430
0.00,0.00,0.00,349.41,45.00,32.00,357.90,24.48,18:09:40.222252
0.00,0.00,0.00,349.41,45.00,32.00,357.90,24.48,18:09:40.429484
0.00,0.00,0.00,349.41,45.00,32.00,357.90,24.48,18:09:40.628842
0.00,0.00,0.00,349.41,45.00,32.00,357.90,24.48,18:09:40.831567
0.00,0.00,0.00,349.41,45.00,32.00,357.90,24.48,18:09:41.039394
0.00,0.00,0.00,349.41,45.00,32.00,357.90,24.48,18:09:41.239580
0.00,0.00,0.00,349.41,45.00,32.00,357.90,24.48,18:09:41.439184
0.00,0.00,0.00,349.41,45.00,32.00,357.90,24.48,18:09:41.639607
0.00,0.00,0.00,349.41,45.00,32.00,357.90,24.49,18:09:41.839454
0.00,0.00,0.00,349.41,45.00,32.00,357.90,24.49,18:09:42.040989
0.00,0.00,0.00,349.41,45.00,32.00,357.90,24.49,18:09:42.238919
0.00,0.00,0.00,349.41,45.00,32.00,357.90,24.49,18:09:42.451405
0.00,0.00,0.00,349.41,45.00,32.00,357.90,24.49,18:09:42.654343
0.00,0.00,0.00,349.41,45.00,32.00,357.90,24.49,18:09:42.849759
0.00,0.00,0.00,349.41,45.00,32.00,357.90,24.49,18:09:43.099691
0.00,0.00,0.00,349.41,45.00,32.00,357.90,24.49,18:09:43.319340
0.00,0.00,0.00,349.41,45.00,32.00,357.90,24.48,18:09:43.522889
0.00,0.00,0.00,349.41,45.00,32.00,357.90,24.48,18:09:43.729093
0.00,0.00,0.00,349.41,45.00,32.00,357.90,24.48,18:09:43.941478
